GAPD1_HUMAN	LRC47_HUMAN
GAREM_HUMAN	GRB2_HUMAN
GGA3_HUMAN	MPRI_HUMAN
GLIS2_HUMAN	WNK1_HUMAN
GRB2_HUMAN	IRS4_HUMAN
GRB2_HUMAN	MK09_HUMAN
GRB2_HUMAN	PHAG1_HUMAN
GRB2_HUMAN	PTN11_HUMAN
GRB2_HUMAN	PTN18_HUMAN
GRB2_HUMAN	PTPRA_HUMAN
GRB2_HUMAN	SHC1_HUMAN
GRB2_HUMAN	WASL_HUMAN
GRB2_HUMAN	WIPF2_HUMAN
GSK3A_HUMAN	KAPCA_HUMAN
H2AY_HUMAN	HDAC2_HUMAN
H2AY_HUMAN	SUMO2_HUMAN
HACD3_HUMAN	NEK6_HUMAN
HDAC2_HUMAN	HM20B_HUMAN
HDAC2_HUMAN	RREB1_HUMAN
HDAC2_HUMAN	SIN3A_HUMAN
HDAC2_HUMAN	WIZ_HUMAN
HDAC2_HUMAN	ZN318_HUMAN
HGS_HUMAN	SCAM3_HUMAN
HGS_HUMAN	STAM2_HUMAN
HIPK2_HUMAN	MECP2_HUMAN
HIPK2_HUMAN	SUMO2_HUMAN
HIPK3_HUMAN	ZYX_HUMAN
HM20B_HUMAN	KIF4A_HUMAN
HNRL1_HUMAN	NUP98_HUMAN
HNRL1_HUMAN	SUMO2_HUMAN
HOIL1_HUMAN	RNF31_HUMAN
HTSF1_HUMAN	SRSF4_HUMAN
I2BP1_HUMAN	IRF2_HUMAN
I2BP1_HUMAN	SUMO2_HUMAN
I2BP2_HUMAN	IRF2_HUMAN
I2BP2_HUMAN	SUMO2_HUMAN
ICK_HUMAN	MK01_HUMAN
ICLN_HUMAN	PDLI1_HUMAN
IGF1R_HUMAN	SHC1_HUMAN
ITSN2_HUMAN	MCRS1_HUMAN
IWS1_HUMAN	SUMO2_HUMAN
KAPCA_HUMAN	KKCC1_HUMAN
KAPCA_HUMAN	PLSL_HUMAN
KCC1A_HUMAN	KKCC1_HUMAN
KI67_HUMAN	KIF15_HUMAN
KIF4A_HUMAN	SUMO2_HUMAN
KIF4A_HUMAN	SVIL_HUMAN
KPRA_HUMAN	MK01_HUMAN
LAP2B_HUMAN	LMNA_HUMAN
LAP2B_HUMAN	SUMO2_HUMAN
LAS1L_HUMAN	PNKP_HUMAN
LA_HUMAN	NUCL_HUMAN
LMNA_HUMAN	LMNB2_HUMAN
LMNA_HUMAN	TFP11_HUMAN
LMNA_HUMAN	TOIP1_HUMAN
LMNA_HUMAN	WDR70_HUMAN
LMNA_HUMAN	Z280C_HUMAN
LMNB2_HUMAN	SVIL_HUMAN
LRC47_HUMAN	TNAP3_HUMAN
MARK2_HUMAN	PARD3_HUMAN
MARK2_HUMAN	TAOK1_HUMAN
MBB1A_HUMAN	NUCL_HUMAN
MBB1A_HUMAN	SUMO2_HUMAN
MCMBP_HUMAN	SMC3_HUMAN
MCMBP_HUMAN	SUMO2_HUMAN
MCRS1_HUMAN	RN213_HUMAN
MECP2_HUMAN	SIN3A_HUMAN
MK01_HUMAN	MKL1_HUMAN
MK01_HUMAN	MP2K1_HUMAN
MK01_HUMAN	NUP50_HUMAN
MK01_HUMAN	RUNX1_HUMAN
MK03_HUMAN	MKL1_HUMAN
MK03_HUMAN	MP2K1_HUMAN
MK03_HUMAN	NUP50_HUMAN
MK09_HUMAN	STAT3_HUMAN
MKX_HUMAN	SIN3A_HUMAN
MP2K1_HUMAN	PAK1_HUMAN
MPZL1_HUMAN	PTN11_HUMAN
MRE11_HUMAN	RAD50_HUMAN
MYH10_HUMAN	SVIL_HUMAN
MYO6_HUMAN	RNF11_HUMAN
MYO6_HUMAN	TOM1_HUMAN
NEK6_HUMAN	SMC3_HUMAN
NELFE_HUMAN	WDR48_HUMAN
NKAP_HUMAN	PPIG_HUMAN
NRBP_HUMAN	T22D4_HUMAN
NUCL_HUMAN	NUP62_HUMAN
NUCL_HUMAN	PP1B_HUMAN
NUCL_HUMAN	SUMO2_HUMAN
NUP50_HUMAN	TOIP1_HUMAN
NUP98_HUMAN	TPR_HUMAN
OPTN_HUMAN	RNF11_HUMAN
OSBP1_HUMAN	PI4KA_HUMAN
OTUL_HUMAN	RNF31_HUMAN
PAIRB_HUMAN	SUMO2_HUMAN
PAK1_HUMAN	PGAM1_HUMAN
PAK1_HUMAN	STMN1_HUMAN
PAK1_HUMAN	TBCB_HUMAN
PALLD_HUMAN	SPN90_HUMAN
PARD3_HUMAN	PSME3_HUMAN
PDS5A_HUMAN	SMC3_HUMAN
PDS5B_HUMAN	SMC3_HUMAN
PEBB_HUMAN	RUNX1_HUMAN
PEBB_HUMAN	SCG1_HUMAN
PGAM1_HUMAN	PKP4_HUMAN
PHIP_HUMAN	SUMO2_HUMAN
PI4KA_HUMAN	STRN4_HUMAN
PIAS1_HUMAN	SUMO2_HUMAN
PININ_HUMAN	SRRM2_HUMAN
PININ_HUMAN	SRSF4_HUMAN
PNKP_HUMAN	UBE2O_HUMAN
PNKP_HUMAN	XRCC1_HUMAN
POGZ_HUMAN	SUMO2_HUMAN
PRP4B_HUMAN	SNUT2_HUMAN
PSME3_HUMAN	WDR48_HUMAN
Q6FIE9_HUMAN	TM1L1_HUMAN
Q6FIE9_HUMAN	TM1L2_HUMAN
Q6FIE9_HUMAN	TOM1_HUMAN
Q6FIE9_HUMAN	XRN2_HUMAN
RAD50_HUMAN	SUMO2_HUMAN
RBM15_HUMAN	SUMO2_HUMAN
RBM8A_HUMAN	SRRM2_HUMAN
RBP2_HUMAN	SUMO2_HUMAN
REC8_HUMAN	SMC3_HUMAN
RLA1_HUMAN	SAT1_HUMAN
RNF11_HUMAN	RU17_HUMAN
RNF11_HUMAN	STAM2_HUMAN
RNF11_HUMAN	TM1L2_HUMAN
RNF11_HUMAN	TNAP3_HUMAN
RNF11_HUMAN	UBE2O_HUMAN
RNF11_HUMAN	ZFY16_HUMAN
RNF31_HUMAN	TNAP3_HUMAN
RNF31_HUMAN	TRI25_HUMAN
RREB1_HUMAN	SUMO2_HUMAN
SAT1_HUMAN	SPB1_HUMAN
SAT1_HUMAN	T22D4_HUMAN
SCAM3_HUMAN	SUMO2_HUMAN
SCFD1_HUMAN	XRN2_HUMAN
SCG1_HUMAN	SG223_HUMAN
SENP3_HUMAN	SUMO2_HUMAN
SHC1_HUMAN	TBA1A_HUMAN
SMC3_HUMAN	WAPL_HUMAN
SNUT2_HUMAN	SUMO2_HUMAN
SNUT2_HUMAN	TRI25_HUMAN
SPB1_HUMAN	WDHD1_HUMAN
